Codi_comarca;Nom_comarca
11;Baix Llobregat
21;Maresme
24;Osona
41;Vallès Oriental
7;Bages
14;Berguedà
3;Alt Penedès
13;Barcelonès
40;Vallès Occident
6;Anoia
42;Moianès
17;Garraf
34;Selva
2;Alt Empordà
20;Gironès
10;Baix Empordà
15;Cerdanya
28;Pla de l'Estany
31;Ripollès
19;Garrotxa
23;Noguera
38;Urgell
33;Segrià
4;Alt Urgell
18;Garrigues
26;Pallars Sobirà
39;Aran
27;Pla d'Urgell
32;Segarra
25;Pallars Jussà
35;Solsonès
5;Alta Ribagorça
1;Alt Camp
22;Montsià
8;Baix Camp
36;Tarragonès
9;Baix Ebre
12;Baix Penedès
37;Terra Alta
30;Ribera d'Ebre
16;Conca de Barber
29;Priorat
